status_id,status_message,link_name,status_type,status_link,status_published,num_likes,first_page_comment,comments_beyond_pageone,num_comments,num_shares
120735417936636_1168435429833291,I think you should take care of your service quality .i have  a mobile lying uselessly at your service center.and a tab  which you people cant provide a display.,,status,,2016-03-18 11:30:53,0,0,0
120735417936636_162096854181043,,,photo,https://www.facebook.com/photo.php?fbid=162096854181043&set=o.120735417936636&type=3,2016-03-18 09:50:45,0,0,0
120735417936636_1166678446675656,"When you’re in no mood to sleep, catch up on movies with the 11.43cm (4.5) IPS display of #CanvasBlaze4G+! Check it out: http://goo.gl/meXIhU",gph.is,link,http://gph.is/1M73KuL,2016-03-18 09:31:01,37,3,1
120735417936636_813046582156609,"This app taking full internal storage
S301",,photo,https://www.facebook.com/photo.php?fbid=813046582156609&set=o.120735417936636&type=3,2016-03-18 08:02:28,0,0,0
120735417936636_1168292756514225,"Dear Micromax, thanks ki aapne muze handset replace krk diya, but sir vo handset me bhi problem hai, apneaap switch off ho jaata hai, hang hota hai, baat krte krte band ho jata hai, aur ab me handset submit ni kr skta coz muze bahot saare patients k calls aate h, me number bnd ni rakh skta..
Aur abhi mere frds bhi muze bol rahe hai ki SONY, SAMSUNG, APPLE ka phone kharid aur mai kharid bhi skta hu, sir utni meri aukat hai, but SWADESHI SAMARTHAK honeki vajah se me micromax ka mobile istemaal kr rha hu..
Ab aap hee btaiye kya krna hai..",,status,,2016-03-18 07:12:47,0,0,0
120735417936636_1168210813189086,"My phone is 8 months old,till in this 8 months I had repaired it in Micromax service center for 8 times,
But till now I always have many types of problems in my phone,whenever I go to the service center they tell me that we have software updated,and it would not do any problem.
But it always has some or the other problem.
Like now a days applications are automatically getting exit,in my camera voice capture doesn't work.sorry to tell but if my problem is not solved than I have do consumer complaint.

phone:-+91 7735113813,+91 9776898530",,status,,2016-03-18 04:43:28,0,4,0
120735417936636_1168200093190158,"Dear Sir / Madam,
I am Srinivasan customer who is using your brand mobile phone model (Micromax Bolt D321 blue) since 18/04/2015. IMEI no is 911418351683315. During this period i was facing a issue in charging and i went to the Micromax authorized service center Micromax care Mobi Vision located in Kodambakkam High road, T. Nagar, Chennai on Feb/17/2016. 
They told us there is a problem with a charging pin it need to be replaced. We accept to replace the pin. Then we went back on Feb/19/2016 to collect the mobile phone. They checked the in front of me with the battery and it is not working. The we left our mobile there itself over there and after one week i went over your authorized service center they told us there is a problem with board it need to be replaced and it will take one month. On March/16/16 i went over the service center to collect the mobile phone they charged us 800 Rs for the replaced charging pin  and will not issue the mobile phone if the payment is not made. So i made payment and collected my mobile phone.
As it is very clear that the problem with board caused the charging issue and the mobile phone is also under the warranty it need to be replaced or serviced freely.
The service engineer has not examined the problem properly and made me to visit the service center more than four times without proper response.
It is clear that problem with your service center.
I need the proper explanation for the inconvenience caused for me and the money i spent unnecessarily.
I have attached the copy of the bill they have collected below for your Kind attention.

Thank you

Srinivasan
9941141478",,status,,2016-03-18 04:17:58,1,2,0
120735417936636_1168154083194759,"Sir,whenever i call micromax care . They always said that,you have to still wait for 15 days. Besides,sir i am suffering from last three months my refference is ser145391702576& job sheet number is N080136021622017645.phone number 9018252509",,status,,2016-03-18 02:49:28,0,3,0
120735417936636_1168108396532661,"Bad Product and Bad services by Micromax my expireance.
mene mera mobile ko service center me diya tha bole ke puri pcb change ho jayegi delhi service center bhejna padega.or mene submit bhi kara diya 10 din ke bad call aaya hogaya or 2 din bad jo hang ka problem same issue.to kay fir 10 -25 din ke liye submitt karo.delhi bheje ge hum kuchh kar nahi sakte.esa to service center vale answer dete he.

hum log micromax ka handset sirf service center me lene or lene ke liye hi purches karte hai.inke alava hamare pase to koy kam hi nahi he Right.

don't purches micromax mobile  mere to 9500 pani me gaye e-3111 leke",,status,,2016-03-18 01:05:56,0,1,0
120735417936636_1167324533277714,Back-to-back movies on your mind? The show goes on with the 2900mAh battery & 13.2cm (5.2) FHD display of Micromax #Canvas5! Check out: http://goo.gl/N4XN92,Timeline Photos,photo,https://www.facebook.com/micromaxindia/photos/a.135353393141505.25202.120735417936636/1167324533277714/?type=3,2016-03-18 00:30:00,159,12,3
